,Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,ROI_Flag
0,NY-CMP-1000,Social Media,College Students,21.0,"WhatsApp, YouTube",57804.0,6156.0,3616.0,2355.0,1370861.875,207.23,1.81,Hindi,20.98,College Students,2025-04-29,Profit
1,NY-CMP-1001,Paid Ads,Tier 2 City Customers,18.0,YouTube,91801.0,3321.0,1971.0,1357.0,1046247.0,180.83,3.26,Hindi,7.24,College Students,2025-04-06,Profit
2,NY-CMP-1002,Influencer,Youth,23.0,"WhatsApp, Google, YouTube",15536.0,2182.0,952.0,755.0,197055.0,90.6,1.88,English,25.03,College Students,2025-01-14,Profit
3,NY-CMP-1003,Email,Working Women,18.0,"YouTube, Facebook, Instagram",88114.0,8413.0,2231.0,947.0,376906.0,249.07,0.6,Hindi,13.15,College Students,2025-06-04,Profit
4,NY-CMP-1004,Paid Ads,College Students,10.0,"Facebook, Instagram",96871.0,3743.0,2060.0,1258.0,518296.0,228.6,0.8,Hindi,7.29,Tier 2 City Customers,2024-12-29,Profit
5,NY-CMP-1005,Influencer,Youth,26.0,"Email, Instagram",83919.0,7497.0,2061.0,1555.0,877020.0,137.79,3.09,Hindi,13.24,Premium Shoppers,2024-09-23,Profit
6,NY-CMP-1006,Paid Ads,College Students,21.0,"YouTube, Google, WhatsApp",82267.0,3909.0,1873.0,1386.0,633402.0,210.17,1.17,Tamil,13.781462901942962,Youth,2024-09-01,Profit
8,NY-CMP-1008,Influencer,Premium Shoppers,27.0,"Facebook, WhatsApp, Email",73813.0,8680.0,5031.0,2551.0,1058665.0,87.74,3.73,Hindi,22.03,Tier 2 City Customers,2025-03-24,Profit
9,NY-CMP-1009,Paid Ads,College Students,11.0,Email,88895.0,6284.0,1600.0,858.0,603174.0,269.82,1.61,Hindi,9.83,Youth,2025-04-29,Profit
11,NY-CMP-1011,SEO,Youth,7.0,"Facebook, YouTube",39696.0,5623.0,1136.0,661.0,286874.0,163.52,1.65,Hindi,18.69,Premium Shoppers,2024-12-21,Profit
12,NY-CMP-1012,Email,Youth,29.0,"Email, Instagram, Facebook",20080.0,570.0,258.0,183.0,128466.0,462.62,0.52,Hindi,5.03,Working Women,2024-10-29,Profit
13,NY-CMP-1013,SEO,Youth,14.0,Email,96303.0,3749.0,1785.0,940.0,441800.0,282.05,0.67,Tamil,6.72,Premium Shoppers,2024-10-29,Profit
14,NY-CMP-1014,Paid Ads,Premium Shoppers,5.0,Instagram,38072.0,2591.0,1542.0,769.0,240697.0,369.75,-0.15,Bengali,12.88,College Students,2024-07-06,Loss
15,NY-CMP-1015,Paid Ads,Working Women,23.0,"Facebook, Instagram, Email",28714.0,1511.0,441.0,158.0,359832.0,859.24,1.65,Hindi,7.35,Premium Shoppers,2024-10-06,Profit
16,NY-CMP-1016,SEO,College Students,27.0,WhatsApp,73474.0,4886.0,2344.0,1055.0,263750.0,272.28,-0.08,English,13.781462901942962,College Students,2024-12-18,Loss
17,NY-CMP-1017,Paid Ads,Premium Shoppers,28.0,"Google, YouTube, Instagram",57060.0,1659.0,928.0,346.0,187186.0,448.86,0.21,Hindi,5.14,Premium Shoppers,2025-04-19,Profit
18,NY-CMP-1018,SEO,Tier 2 City Customers,7.0,WhatsApp,49784.0,3909.0,594.0,440.0,261800.0,115.42,4.16,Tamil,5.11,Working Women,2025-01-18,Profit
19,NY-CMP-1019,Paid Ads,College Students,21.0,Instagram,55317.0,7847.0,1736.0,1079.0,715377.0,174.65,2.8,English,19.27,Tier 2 City Customers,2025-02-16,Profit
20,NY-CMP-1020,Paid Ads,Premium Shoppers,27.0,"Google, YouTube",10678.0,3909.0,524.0,163.0,111981.0,859.24,-0.2,Bengali,17.83,Youth,2024-08-27,Loss
21,NY-CMP-1021,SEO,Working Women,22.0,"Instagram, YouTube, Google",27990.0,3508.0,761.0,385.0,155540.0,516.25,-0.22,Hindi,16.63,Youth,2025-01-30,Loss
22,NY-CMP-1022,Email,Working Women,9.0,"WhatsApp, YouTube",74423.0,3139.0,1622.0,1149.0,629652.0,89.52,5.12,Bengali,7.94,Premium Shoppers,2025-02-03,Profit
23,NY-CMP-1023,SEO,Working Women,9.0,"Google, Email, WhatsApp",77708.0,4985.0,1363.0,916.0,632040.0,120.36,4.73,Bengali,9.35,Tier 2 City Customers,2025-05-07,Profit
24,NY-CMP-1024,SEO,Working Women,21.0,"YouTube, Facebook",89970.0,10679.0,4140.0,2800.375,1370861.875,207.23,1.36,English,19.81,Working Women,2025-03-10,Profit
25,NY-CMP-1025,SEO,Working Women,25.0,"Google, Facebook",96295.0,8911.0,2116.0,872.0,441232.0,148.17,2.41,Hindi,12.36,Tier 2 City Customers,2024-11-17,Profit
26,NY-CMP-1026,Influencer,Working Women,29.0,"Google, Instagram, WhatsApp",59234.0,3909.0,1531.0,892.0,226568.0,270.76,-0.06,Tamil,12.52,College Students,2024-10-16,Loss
27,NY-CMP-1027,Social Media,Working Women,15.0,YouTube,74702.0,10110.0,5095.0,2481.0,1220652.0,49.62,8.46,Tamil,23.95,Premium Shoppers,2025-03-30,Profit
28,NY-CMP-1028,Paid Ads,Youth,15.0,"Instagram, Google, YouTube",26353.0,3943.0,1879.0,746.0,458044.0,214.56,1.86,Tamil,24.92,College Students,2025-03-30,Profit
29,NY-CMP-1029,Email,Youth,26.0,"WhatsApp, Instagram, Email",16978.0,1079.0,372.0,164.0,56908.0,859.24,-0.6,English,9.51,Youth,2024-07-24,Loss
30,NY-CMP-1030,SEO,College Students,18.0,YouTube,92924.0,9525.0,4340.0,2242.0,652422.0,27.28,8.46,English,17.33,Youth,2025-03-17,Profit
31,NY-CMP-1031,SEO,Working Women,7.0,"Email, Facebook, WhatsApp",96549.0,12975.875,3791.0,1202.0,366610.0,74.34,3.1,Hindi,18.75,College Students,2025-06-04,Profit
33,NY-CMP-1033,Social Media,Youth,19.0,"WhatsApp, Google, YouTube",55119.386698247275,3309.0,1588.0,582.0,346872.0,320.86,0.86,English,8.94,Youth,2024-12-31,Profit
34,NY-CMP-1034,SEO,College Students,22.0,"Email, Facebook, YouTube",55119.386698247275,1719.0,704.0,274.0,101928.0,727.09,-0.49,Tamil,9.24,Working Women,2024-10-12,Loss
35,NY-CMP-1035,Paid Ads,College Students,11.0,"Google, Facebook, WhatsApp",19637.0,478.0,236.0,173.0,108471.0,498.5,0.26,Tamil,4.52,Tier 2 City Customers,2024-10-12,Profit
36,NY-CMP-1036,Paid Ads,Premium Shoppers,19.0,"Facebook, Instagram, Email",23746.0,3909.0,747.0,458.0,101218.0,229.15,-0.04,Hindi,11.4,Tier 2 City Customers,2024-12-07,Loss
37,NY-CMP-1037,Paid Ads,Tier 2 City Customers,17.444507737586633,"Facebook, YouTube, Email",53926.0,7219.0,1902.0,1105.0,339235.0,221.64,0.39,Bengali,18.96,Youth,2024-10-18,Profit
38,NY-CMP-1038,Paid Ads,Premium Shoppers,6.0,Email,35806.0,2631.0,999.0,365.0,198925.0,362.79,0.5,English,11.16,Youth,2025-03-22,Profit
39,NY-CMP-1039,Email,Working Women,6.0,"Facebook, YouTube, Instagram",55119.386698247275,2418.0,773.0,403.0,207142.0,207.23,1.48,Hindi,11.33,Youth,2024-10-21,Profit
40,NY-CMP-1040,Influencer,Premium Shoppers,29.0,Email,10338.0,864.0,412.0,299.0,359832.0,438.17,1.75,English,13.781462901942962,Tier 2 City Customers,2024-09-15,Profit
41,NY-CMP-1041,Paid Ads,Tier 2 City Customers,7.0,"Instagram, WhatsApp, Facebook",96095.0,12738.0,5095.0,2800.375,631590.0,56.36,3.0,Bengali,22.8,College Students,2025-03-23,Profit
42,NY-CMP-1042,Influencer,Premium Shoppers,7.0,"WhatsApp, YouTube, Instagram",96219.0,11237.0,5095.0,2800.375,910547.0,68.47,3.75,Hindi,21.0,Working Women,2024-08-31,Profit
43,NY-CMP-1043,Influencer,Premium Shoppers,30.0,YouTube,37002.0,2753.0,979.0,780.0,371280.0,123.02,2.87,Tamil,12.19,College Students,2025-05-29,Profit
44,NY-CMP-1044,SEO,College Students,29.0,"Google, Instagram",65776.0,4977.0,1606.0,901.0,370311.0,74.44,4.52,Bengali,11.38,College Students,2025-04-26,Profit
45,NY-CMP-1045,Social Media,Tier 2 City Customers,12.0,WhatsApp,57520.0,3932.0,2101.0,1431.0,1027458.0,128.93,4.57,English,12.98,Premium Shoppers,2024-08-24,Profit
46,NY-CMP-1046,Email,Working Women,24.0,"Facebook, WhatsApp, Google",52752.0,5831.0,3299.0,2095.0,509085.0,139.77,0.74,Bengali,21.28,Youth,2024-08-05,Profit
47,NY-CMP-1047,Social Media,College Students,5.0,YouTube,14944.0,1268.0,482.0,318.0,104304.0,319.84,0.03,Hindi,13.781462901942962,Working Women,2025-04-02,Profit
